name,xmin_2017,xmin_2019,xmin_dif,alpha_2017,alpha_2019,alpha_dif,sigma_2017,sigma_2019,commits_2017,commits_2019,commits_dif
atom,10.0,9.0,1.0,2.039242998376567,1.8359195263285408,0.20332347204802614,0.15492119930071382,0.11705214645679832,79,85,6
cask,18.0,22.0,-4.0,1.7336857967225443,1.7974451838770937,-0.06375938715454943,0.06725686671465021,0.07249501671609943,333,379,46
Dancer2,107.0,106.0,1.0,2.177500075690754,2.261037545006354,-0.08353746931559991,0.07730666731550309,0.08425661509414822,2135,2254,119
django,10786.0,22380.0,-11594.0,2.1744317304939558,2.6887068697480156,-0.5142751392540599,0.01917838984962695,0.03580856180986959,17644,20303,2659
docker,73.0,85.0,-12.0,1.4645926562553306,1.471139237773135,-0.006546581517804295,0.004754872537365103,0.004450258248742491,19750,24161,4411
ejabberd,2.0,4.0,-2.0,1.228631569923214,1.2671552485187476,-0.03852367859553363,0.0033017325614456455,0.00372055095134032,5277,6569,1292
fission,25.0,22.0,3.0,1.7697310637483803,1.4589753590316525,0.31075570471672775,0.09937185303186655,0.021399836458042016,145,812,667
mojo,32.0,32.0,0.0,2.1283668081735456,2.1384964656994434,-0.010129657525897784,0.03162540535355575,0.031043490328162827,8434,9097,663
Moose,36.0,36.0,0.0,1.768059278495766,1.7677961781806713,0.0002631003150947997,0.0197132783524576,0.019622681314368864,4592,4625,33
rakudo,11.0,12.0,-1.0,1.6159534004325067,1.603181925304308,0.01277147512819865,0.006834230629556248,0.006028504486885445,17488,21877,4389
scalatra,105.0,105.0,0.0,1.7126278313239238,1.678355887867916,0.034271943456007925,0.02583273870367301,0.02363164712583398,2388,2631,243
tensorflow,6.0,193475.0,-193469.0,1.2136744934008,3.638954831303079,-2.425280337902279,0.002587381661200525,0.17832404194194001,8140,33420,25280
tpot,39.0,176.0,-137.0,1.601798428793051,2.139617006349855,-0.5378185775568043,0.0374663336679551,0.08401368034180524,581,1118,537
tty,85.0,83.0,2.0,2.5687968664786887,2.6669971731409587,-0.09820030666227009,0.16355837969418938,0.1582243695783554,656,857,201
vue,10.0,12.0,-2.0,1.4008340778667951,1.4407170088980175,-0.03988293103122231,0.007381204719143647,0.007474075257736019,4114,5152,1038
webpack,66.0,50.0,16.0,1.7525127838915868,1.481958114820392,0.27055466907119485,0.030568742256899546,0.00906295021690492,2215,6215,4000
